日付,千代田,葛飾,杉並,北,大田,青梅,八王子,多摩,町田,立川,府中,小平,,（単位：個/cm2）
2019年4月28日（日）,4.1,7.1,4.8,5.9,5.7,4.2,5.2,5.1,1.7,3.0,0.5,3.9,,
2019年4月29日（月）,4.1,7.1,4.8,5.9,5.7,4.2,5.2,5.1,1.7,3.0,0.5,3.9,,
2019年4月30日（火）,7.1,8.0,6.8,5.7,9.0,4.2,5.2,5.1,1.7,3.0,0.5,3.9,,
2019年5月1日（水）,7.1,8.0,6.8,5.7,9.0,4.2,5.2,5.1,1.7,3.0,0.5,3.9,,
2019年5月2日（木）,7.1,8.0,6.8,5.7,9.0,4.2,5.2,5.1,1.7,3.0,0.5,3.9,,
2019年5月3日（金）,7.1,8.0,6.8,5.7,9.0,4.2,5.2,5.1,1.7,3.0,0.5,3.9,,
2019年5月4日（土）,3.3,1.1,3.0,1.6,1.9,4.2,5.2,5.1,1.7,3.0,0.5,3.9,,
2019年5月5日（日）,3.3,1.1,3.0,1.6,1.9,4.2,5.2,5.1,1.7,3.0,0.5,3.9,,
2019年5月6日（月）,3.3,1.1,3.0,1.6,1.9,4.2,5.2,5.1,1.7,3.0,0.5,3.9,,
2019年5月7日（火）,1.9,2.5,1.8,3.4,0.9,2.8,4.9,3.4,5.5,1.2,4.6,0.9,,
2019年5月8日（水）,4.6,1.2,1.2,2.8,0.6,4.0,3.7,1.9,1.9,2.8,4.0,2.4,,
2019年5月9日（木）,4.9,3.4,3.4,6.8,1.9,3.7,7.1,2.1,1.2,1.2,6.8,0.6,,
2019年5月10日（金）,1.5,2.5,3.1,3.7,2.2,14.9,3.4,2.5,0.5,0.6,1.8,0.8,,
2019年5月11日（土）,0.6,0.6,2.1,1.5,0.0,14.9,3.4,2.5,0.5,0.6,1.8,0.8,,
2019年5月12日（日）,1.2,0.3,1.2,1.2,0.6,14.9,3.4,2.5,0.5,0.6,1.8,0.8,,
2019年5月13日（月）,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
